iter	Passed	Remaining
661	5282	2697
662	5290	2689
663	5298	2681
664	5306	2673
665	5314	2665
666	5322	2657
667	5330	2649
668	5337	2640
669	5345	2632
670	5353	2624
671	5361	2616
672	5369	2608
673	5377	2601
674	5385	2592
675	5393	2584
676	5400	2576
677	5408	2568
678	5416	2560
679	5424	2552
680	5432	2544
681	5439	2536
682	5448	2528
683	5456	2520
684	5464	2512
685	5473	2505
686	5481	2497
687	5490	2489
688	5499	2482
689	5509	2475
690	5519	2468
691	5528	2460
692	5537	2452
693	5545	2445
694	5553	2437
695	5562	2429
696	5570	2421
697	5578	2413
698	5587	2406
699	5596	2398
700	5605	2390
701	5613	2382
702	5622	2375
703	5631	2367
704	5641	2360
705	5650	2352
706	5658	2345
707	5666	2336
708	5675	2329
709	5684	2321
710	5693	2314
711	5702	2306
712	5711	2298
713	5719	2291
714	5727	2283
715	5736	2275
716	5744	2267
717	5753	2259
718	5762	2251
719	5771	2244
720	5779	2236
721	5828	2244
722	5845	2239
723	5853	2231
724	5861	2223
725	5870	2215
726	5879	2207
727	5889	2200
728	5897	2192
729	5906	2184
730	5915	2176
731	5923	2168
732	5932	2160
733	5940	2152
734	5949	2145
735	5958	2137
736	5966	2129
737	5975	2121
738	5984	2113
739	5992	2105
740	6001	2097
741	6009	2089
742	6017	2081
743	6024	2073
744	6032	2064
745	6040	2056
746	6048	2048
747	6056	2040
748	6064	2032
749	6071	2023
750	6079	2015
751	6087	2007
752	6096	1999
753	6103	1991
754	6111	1983
755	6118	1974
756	6126	1966
757	6134	1958
758	6142	1950
759	6151	1942
760	6159	1934
761	6168	1926
762	6175	1918
763	6185	1910
764	6195	1903
765	6203	1895
766	6213	1887
767	6221	1879
768	6232	1872
769	6239	1863
770	6249	1856
771	6256	1847
772	6265	1840
773	6273	1831
774	6281	1823
775	6289	1815
776	6297	1807
777	6305	1799
778	6314	1791
779	6321	1783
780	6330	1775
781	6337	1766
782	6346	1758
783	6355	1751
784	6365	1743
785	6375	1735
786	6382	1727
787	6391	1719
788	6399	1711
789	6406	1703
790	6414	1694
791	6421	1686
792	6429	1678
793	6437	1670
794	6445	1662
795	6453	1653
796	6461	1645
797	6468	1637
798	6476	1629
799	6495	1623
800	6513	1618
801	6543	1615
802	6557	1608
803	6569	1601
804	6585	1595
805	6595	1587
806	6604	1579
807	6612	1571
808	6621	1563
809	6630	1555
810	6639	1547
811	6647	1538
812	6655	1530
813	6663	1522
814	6672	1514
815	6680	1506
816	6689	1498
817	6696	1490
818	6705	1481
819	6714	1473
820	6723	1465
821	6730	1457
822	6739	1449
823	6747	1441
824	6757	1433
825	6765	1425
826	6774	1417
827	6781	1408
828	6790	1400
829	6798	1392
830	6807	1384
831	6814	1375
832	6822	1367
833	6829	1359
834	6838	1351
835	6846	1343
836	6853	1334
837	6861	1326
838	6869	1318
839	6895	1313
840	6910	1306
841	6921	1298
842	6930	1290
843	6940	1282
844	6950	1274
845	6959	1266
846	6969	1258
847	6978	1250
848	6987	1242
849	6996	1234
850	7005	1226
851	7017	1218
852	7025	1210
853	7035	1202
854	7043	1194
855	7052	1186
856	7062	1178
857	7070	1170
858	7081	1162
859	7091	1154
860	7101	1146
861	7111	1138
862	7121	1130
863	7132	1122
864	7141	1114
865	7152	1106
866	7163	1098
867	7173	1090
868	7185	1083
869	7205	1076
870	7215	1068
871	7225	1060
872	7233	1052
873	7243	1044
874	7251	1035
875	7260	1027
876	7269	1019
877	7279	1011
878	7290	1003
879	7299	995
880	7309	987
881	7318	979
882	7328	970
883	7337	962
884	7347	954
885	7357	946
886	7366	938
887	7377	930
888	7388	922
889	7397	914
890	7406	906
891	7415	897
892	7424	889
893	7434	881
894	7444	873
895	7453	865
896	7462	856
897	7472	848
898	7482	840
899	7492	832
900	7501	824
901	7511	816
902	7522	808
903	7532	799
904	7542	791
905	7550	783
906	7561	775
907	7571	767
908	7580	758
909	7590	750
910	7599	742
911	7609	734
912	7620	726
913	7631	718
914	7642	709
915	7654	701
916	7664	693
917	7674	685
918	7683	677
919	7693	669
920	7703	660
921	7713	652
922	7723	644
923	7733	636
924	7742	627
925	7751	619
926	7760	611
927	7770	602
928	7779	594
929	7789	586
930	7799	578
931	7809	569
932	7818	561
933	7828	553
934	7839	544
935	7847	536
936	7856	528
937	7865	519
938	7874	511
939	7883	503
940	7894	494
941	7905	486
942	7915	478
943	7925	470
944	7934	461
945	7943	453
946	7952	445
947	7962	436
948	7972	428
949	7981	420
950	7991	411
951	8000	403
952	8009	394
953	8018	386
954	8027	378
955	8036	369
956	8047	361
957	8056	353
958	8065	344
959	8083	336
960	8093	328
961	8103	320
962	8114	311
963	8123	303
964	8132	294
965	8141	286
966	8151	278
967	8160	269
968	8169	261
969	8178	252
970	8187	244
971	8196	236
972	8206	227
973	8216	219
974	8226	210
975	8235	202
976	8244	194
977	8254	185
978	8263	177
979	8272	168
980	8281	160
981	8290	151
982	8300	143
983	8309	135
984	8318	126
985	8328	118
986	8337	109
987	8346	101
988	8356	92
989	8369	84
990	8383	76
991	8394	67
992	8405	59
993	8416	50
994	8428	42
995	8437	33
996	8449	25
997	8460	16
998	8470	8
999	8482	0
